,Date,DXY_close,IDCOTCTR_close,SKEW_close,WGREIT_close,VVIX_close,US10Y_close,US3M_close,USIG_close,USHY_close,VIX_close,CL_close,BCOMGC_close,SP_close,FESX_close,US_close,SI_close,N225_close,NQ_close,MOVE_close,TY_close,FGBL_close,JPY_close,CHF_close
0,2000-01-03,100.22,,,,,6.594,5.405,,,24.21,,52.38,1466.75,,89.88,,,,,95.08,,101.69,1.5648
1,2000-01-04,100.41,,,,,6.499,5.379,,,27.01,,51.31,1411.75,,90.62,5.335,19002.86,,,95.56,,103.14,1.5555
2,2000-01-05,100.38,,,,,6.599,5.43,,,26.41,,51.02,1413.5,,89.69,5.17,18542.55,,,94.88,,104.09,1.555
3,2000-01-06,100.65,,,,,6.54,5.393,,,25.73,,51.08,1404.0,,90.41,5.127,18168.27,,,95.2,,105.23,1.5536
4,2000-01-07,100.8,,,,,6.513,5.375,,,21.72,,51.17,1460.5,,90.94,5.15,18193.41,,,95.58,,105.33,1.5648
5,2000-01-10,100.99,,,,,6.554,5.384,,,21.71,,51.13,1475.0,,90.56,5.145,,,,95.34,,105.16,1.5685
6,2000-01-11,100.56,,,,,6.659,5.421,,,22.5,,51.44,1454.25,,89.59,5.15,18850.92,,,95.0,,106.02,1.5585
7,2000-01-12,100.62,,,,,6.701,5.42,,,22.84,,51.33,1442.0,,89.41,5.1,18677.42,,,94.39,,105.71,1.5629
8,2000-01-13,101.0,,,,,6.632,5.377,,,21.71,,51.59,1458.5,,90.28,5.115,18833.29,,,95.02,,106.02,1.5723
9,2000-01-14,101.72,,,,,6.688,5.4,,,19.66,,51.58,1478.0,,89.75,5.112,18956.55,,,94.61,,105.88,1.5925
10,2000-01-17,102.05,,,,,6.679,,,,,,,,,,,19437.23,,,,,104.89,1.5963
11,2000-01-18,101.86,,,,,6.753,5.373,,,21.5,,52.44,1469.5,,89.22,5.127,19196.57,,,94.12,,105.66,1.5921
12,2000-01-19,101.76,,,,,6.73,5.482,,,21.72,,52.58,1472.5,,89.53,5.135,18897.75,,,94.34,,105.26,1.5942
13,2000-01-20,101.36,,,,,6.79,5.429,,,21.75,,52.42,1457.0,,89.41,5.219,19008.01,,,94.06,,105.31,1.5835
14,2000-01-21,101.76,,,,,6.772,5.427,,,20.82,,52.48,1453.75,,89.72,5.222,18878.09,,,93.98,,104.72,1.5962
15,2000-01-24,102.2,,,,,6.689,5.447,,,24.07,,52.17,1411.75,,90.34,5.255,19056.71,,,94.56,,105.65,1.6002
16,2000-01-25,102.41,,,,,6.694,5.567,,,23.02,,51.88,1417.5,,90.59,5.277,18895.53,,,94.48,,105.87,1.6115
17,2000-01-26,102.44,,,,,6.666,5.561,,,23.03,,51.9,1415.0,,91.25,5.25,19111.19,,,94.61,,105.58,1.6103
18,2000-01-27,103.17,,,,,6.699,5.565,,,23.54,,52.04,1409.75,,91.94,5.382,19209.72,,,94.58,,104.99,1.6323
19,2000-01-28,104.48,,,,,6.575,5.625,,,26.14,,51.34,1366.5,,92.94,5.307,19434.78,,,94.89,,107.06,1.6498
20,2000-01-31,105.13,,,,,6.662,5.692,,,24.95,,51.38,1401.0,,92.22,5.287,19539.7,,,94.78,,107.2,1.6566
21,2000-02-01,104.92,,,,,6.626,5.692,,,23.45,,51.24,1416.75,,92.88,5.223,19423.38,,,95.09,,107.74,1.6562
22,2000-02-02,104.79,,,,,6.575,5.597,,,23.12,,51.65,1415.5,,93.47,5.212,19578.91,,,95.22,,108.1,1.6506
23,2000-02-03,103.8,,,,,6.448,5.612,,,22.01,,52.04,1436.5,,94.44,5.26,19786.42,,,95.86,,107.45,1.6224
24,2000-02-04,104.29,,,,,6.558,5.625,,,21.54,,56.19,1431.5,,94.12,5.547,19763.13,,,95.47,,107.18,1.6345
25,2000-02-07,104.64,,,,,6.645,5.614,,,22.79,,54.66,1427.25,,93.38,5.26,19945.43,,,94.78,,108.91,1.6381
26,2000-02-08,104.22,,,,,6.618,5.682,,,21.25,,54.16,1446.25,,94.53,5.318,19868.88,,,95.11,,109.4,1.6313
27,2000-02-09,103.68,,,,,6.581,5.629,,,22.9,,55.4,1418.25,,93.59,5.408,20007.77,,,94.59,,108.76,1.6179
28,2000-02-10,104.13,,,,,6.673,5.654,,,23.07,,57.21,1419.25,,92.81,5.405,19710.02,,,94.2,,109.11,1.6302
29,2000-02-11,104.19,,,,,6.595,5.633,,,24.42,,56.3,1396.75,,93.31,5.332,,,,94.41,,108.8,1.6263
30,2000-02-14,104.72,,,,,6.56,5.593,,,24.38,,55.83,1398.75,,94.12,5.255,19556.46,,,95.0,,108.83,1.6429
31,2000-02-15,104.69,,,,,6.552,5.63,,,22.92,,54.59,1410.0,,93.75,5.245,19367.83,,,94.8,,109.07,1.6367
32,2000-02-16,104.28,,,,,6.543,5.712,,,23.51,,54.76,1392.75,,93.69,5.292,19599.18,,,94.78,,109.35,1.6258
33,2000-02-17,104.27,,,,,6.56,5.732,,,23.17,,54.54,1385.5,,94.16,5.255,19791.4,,,94.56,,110.41,1.6238
34,2000-02-18,104.63,,,,,6.483,5.729,,,26.0,,55.17,1353.25,,94.88,5.273,19789.03,,,95.08,,110.85,1.627
35,2000-02-21,104.58,,,,,,,,,,,,,,,,19543.75,,,,,111.25,1.6233
36,2000-02-22,103.28,,,,,6.363,5.767,,,25.86,,55.24,1349.0,,95.84,5.283,19390.58,,,96.11,,110.68,1.6022
37,2000-02-23,103.53,,,,,6.422,5.807,,,23.89,,54.29,1365.25,,95.19,5.256,19519.55,,,95.56,,111.25,1.6065
38,2000-02-24,104.01,,,,,6.367,5.806,,,24.38,,54.02,1353.25,,95.5,5.166,19571.44,,,96.2,,111.3,1.6203
39,2000-02-25,105.26,,,,,6.337,5.782,,,25.2,,52.89,1338.0,,94.91,5.036,19817.88,,,96.2,,110.15,1.6503
